variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/postcard,8,1,158384.6013498165,146488.94242201993,79450614,232772728.39280263,0,5486,11476,27415,25.559
quent-dynamic-log/raw,8,1,158381.56355482,147361.04307247562,98150614,289271537.14487857,0,5146,12295,21649,23.811056999999995
quent-dynamic-span/postcard,8,1,134105.68149426684,123129.65482277096,81000645,199471629.18543613,0,6975,17903,26444,32.37557866666666
quent-dynamic-span/raw,8,1,147424.78789384715,135284.3879859016,100150654,270976398.6555557,0,6643,15218,22277,30.433513666666666
quent-static-log/postcard,8,1,169556.4657468087,162931.1648800909,77200614,251567719.36956504,0,5449,13766,21894,12.691806333333332
quent-static-log/raw,8,1,166840.10858364656,160564.05597115506,90950614,292067989.5381384,0,5230,18530,23206,11.985911333333334
quent-static-span/postcard,8,1,162757.0095632789,153762.90189008793,78750645,242178554.01832286,0,6434,20770,29315,18.104064666666666
quent-static-span/raw,8,1,168574.95242077936,160597.85492425246,92950654,298553512.9241277,0,5504,13578,24180,14.948711333333334
quent-dynamic-log/postcard,8,16,3845749.493746974,620374.9703985001,79450614,985783446.1678532,0,2932,5813,12811,67.46011233333333
quent-dynamic-log/raw,8,16,4332889.489023428,618409.9621212146,98150614,1213946349.7182794,0,2317,5668,8282,69.56420833333333
quent-dynamic-span/postcard,8,16,2328611.269434706,505687.0386845173,81001110,819224228.9211768,0,3801,11583,15912,77.39213133333334
quent-dynamic-span/raw,8,16,2870195.209696321,532632.9977180652,100151254,1066877252.8648673,0,4160,9341,12422,76.47199533333334
quent-static-log/postcard,8,16,2424456.180877251,609015.59861638,77200614,940327562.9752417,0,3295,9132,83411,57.99589699999999
quent-static-log/raw,8,16,3861179.236167474,731894.1816389823,90950614,1331324504.0618591,0,2115,6913,10424,55.02762933333333
quent-static-span/postcard,8,16,2705714.2692130227,608794.3512328317,78751110,958864618.4263073,0,4344,10159,17893,62.545227000000004
quent-static-span/raw,8,16,2788189.1732626134,591737.9748708628,92951254,1100055736.0733435,0,3653,9370,15559,66.49821466666667
quent-dynamic-log/postcard,64,1,52523.21863464117,38847.64220196111,820900614,637801066.7208439,0,17823,43214,52702,333.56213399999996
quent-dynamic-log/raw,64,1,54917.1639000208,39393.15781790653,938400614,739331269.6744479,0,18323,41671,66681,358.690075
quent-dynamic-span/postcard,64,1,55247.75019291345,40361.17657329667,822450645,663901514.1133347,0,17873,43532,68517,334.04281999999995
quent-dynamic-span/raw,64,1,54247.49872440058,39875.10575452497,940400654,749971510.5974889,0,19327,43134,69668,331.60492600000003
quent-static-log/postcard,64,1,54895.53409124375,45822.210091433204,800700614,733797435.1009513,0,19404,49537,61484,178.03538433333333
quent-static-log/raw,64,1,71895.85767487493,51853.638663319995,881500614,914180286.3970143,0,11752,31019,39153,270.0291233333333
quent-static-span/postcard,64,1,47646.11795195568,42894.28303264926,802250645,688239324.5951086,0,21042,38456,46155,115.89685966666667
quent-static-span/raw,64,1,69181.2728159856,50831.718095442506,883500654,898197123.6253418,0,11322,31254,47157,259.98690633333337
quent-dynamic-log/postcard,64,16,799745.5269866651,92155.0868611438,820900614,1513003347.7507257,0,12127,40153,112677,480.4558456666667
quent-dynamic-log/raw,64,16,822533.454514687,91776.1108939431,938400614,1722455176.2681656,0,12001,40423,105419,483.025828
quent-dynamic-span/postcard,64,16,660366.7382475375,90402.7694405985,822451110,1487037161.469886,0,13443,35512,535332,477.62352366666664
quent-dynamic-span/raw,64,16,697600.889072434,88197.61019468452,940401254,1658822864.53769,0,12903,31935,74333,495.65479233333343
quent-static-log/postcard,64,16,1005714.1129628277,120770.70028350088,800700614,1934023477.4041824,0,11345,87272,442676,348.625567
quent-static-log/raw,64,16,1231392.6856198555,106747.07923958334,881500614,1881952317.8479874,0,9619,20279,60342,427.9506063333333
quent-static-span/postcard,64,16,1163262.204301159,164326.5029596791,802251110,2636622388.0364175,0,10765,30851,114488,261.2288816666666
quent-static-span/raw,64,16,1050632.4039560487,105349.54510505126,883501254,1861529104.172847,0,10550,24201,46563,427.00538466666666
