variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/noop,8,1,1023163.6259659146,,,,,938,1004,1240,
quent-dynamic-span/noop,8,1,990905.897822315,,,,,973,1056,1168,
quent-static-log/noop,8,1,1363785.5071121866,,,,,727,741,745,
quent-static-span/noop,8,1,1185511.2414610737,,,,,774,906,2526,
quent-dynamic-log/noop,8,16,11722214.193254968,,,,,937,1446,1495,
quent-dynamic-span/noop,8,16,12562117.883197606,,,,,968,1092,1550,
quent-static-log/noop,8,16,13623709.560219146,,,,,732,1142,1182,
quent-static-span/noop,8,16,15183822.72236879,,,,,785,1239,1263,
quent-dynamic-log/noop,64,1,168087.4920240651,,,,,5813,6034,7881,
quent-dynamic-span/noop,64,1,164037.96328861092,,,,,5991,6076,6122,
quent-static-log/noop,64,1,239011.4373099547,,,,,4122,4195,4244,
quent-static-span/noop,64,1,238374.73027869142,,,,,4067,4185,4971,
quent-dynamic-log/noop,64,16,2508760.6253649243,,,,,5959,6182,6643,
quent-dynamic-span/noop,64,16,2354105.179634788,,,,,6053,6324,6924,
quent-static-log/noop,64,16,3422186.7944633663,,,,,3949,4247,4289,
quent-static-span/noop,64,16,3656810.354996084,,,,,4021,4193,5154,
