variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/postcard,8,1,158213.70841602725,145624.701037358,79450622,231399461.51964274,0,6245,11753,26847,27.631673666666668
quent-dynamic-span/postcard,8,1,140297.17003532118,128585.65705693317,81000653,208310443.7609129,0,6606,15660,25363,32.487201000000006
quent-static-log/postcard,8,1,161356.31140095837,155286.7965315959,77200622,239764745.61253294,0,5728,18831,24750,12.251024333333334
quent-static-span/postcard,8,1,159311.32824488662,148106.6262455833,78750653,233269870.60933247,0,6567,16936,25359,23.642928666666666
quent-dynamic-log/postcard,8,16,4193807.5596224177,629656.2748764666,79450622,1000531653.702765,0,3124,6257,11232,67.47673033333332
quent-dynamic-span/postcard,8,16,2411745.4889628,505388.05244992836,81001118,818739945.4457365,0,5066,11582,13758,77.49894166666667
quent-static-log/postcard,8,16,2378800.974029511,612347.4884006357,77200622,945472139.6933371,0,3874,11529,67925,57.23400433333333
quent-static-span/postcard,8,16,2180152.888391039,540465.768103347,78751118,851245669.5773463,0,4104,10994,37410,69.06023433333333
quent-dynamic-log/postcard,64,1,41234.84007185429,32791.60033961464,820900622,538372902.3033013,0,24188,40859,55861,312.45193166666667
quent-dynamic-span/postcard,64,1,40545.97271962588,32267.754922713375,822450653,530772722.14059156,0,26214,45654,65426,316.58395133333335
quent-static-log/postcard,64,1,46512.93053625379,39221.64560680768,800700622,628095920.6646895,0,20638,37566,49373,200.79635900000002
quent-static-span/postcard,64,1,44088.39188149924,39598.36580545664,802250653,635356296.5032092,0,22685,45652,56238,128.60214133333332
quent-dynamic-log/postcard,64,16,706471.8494108055,84083.60975772924,820900622,1380485751.0025039,0,12920,42808,64685,523.3980029999999
quent-dynamic-span/postcard,64,16,642794.3314888868,88286.93068361277,822451118,1452233696.9105165,0,13878,48605,288883,488.62584266666664
quent-static-log/postcard,64,16,1000265.8676637696,120002.53780483012,800700622,1921722133.2381198,0,13280,47763,231565,355.34161766666665
quent-static-span/postcard,64,16,1054338.5269044163,158176.36032877167,802251118,2537943238.2985587,0,11103,34302,381731,268.31675633333333
