variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/noop,8,1,1165554.4858664584,,,,,813,915,2547,
quent-dynamic-log/postcard,8,1,149652.99073208237,141923.45372496263,79450616,225518116.46591547,0,5491,14974,25696,18.22790666666667
quent-dynamic-span/noop,8,1,1183466.475773852,,,,,836,854,862,
quent-dynamic-span/postcard,8,1,166754.092440291,155520.84226741406,81000647,251945776.91290972,0,6478,13567,21176,22.109343
quent-dynamic-log/noop,8,16,11970435.34326529,,,,,818,1585,1623,
quent-dynamic-log/postcard,8,16,2260049.720099134,559933.6599197091,79450616,889741483.9951078,0,3612,10939,153915,64.08044766666666
quent-dynamic-span/noop,8,16,13687824.349557178,,,,,848,1329,1385,
quent-dynamic-span/postcard,8,16,1991102.8780837741,515436.50077939586,81001112,835018594.5703987,0,4551,10409,22296,71.59200633333334
quent-dynamic-log/noop,64,1,217772.79276071276,,,,,4424,4627,4636,
quent-dynamic-log/postcard,64,1,58936.35021468471,43298.37170806784,820900616,710873200.1389973,0,16785,32788,37882,297.8105653333333
quent-dynamic-span/noop,64,1,213401.0514817659,,,,,4551,4628,5243,
quent-dynamic-span/postcard,64,1,61588.553087178036,45932.03654830982,822450647,755536663.5437013,0,16058,36102,41543,276.34646499999997
quent-dynamic-log/noop,64,16,2890497.3742448627,,,,,4434,4710,4855,
quent-dynamic-log/postcard,64,16,598330.4534011249,87187.19159031003,820900616,1431440385.6759102,0,12935,52648,158094,478.1046636666667
quent-dynamic-span/noop,64,16,3288673.0115231704,,,,,4468,4714,4755,
quent-dynamic-span/postcard,64,16,780236.607603653,103281.54819711704,822451112,1698880483.2760098,0,12710,32663,65781,419.558634
