variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/postcard,8,1,155776.8960859823,144248.4286155357,79450628,229212564.8303496,0,5726,14629,29121,25.663263
quent-dynamic-span/postcard,8,1,135264.02814759963,124652.13606096916,81000659,201938103.33392334,0,7762,18461,35515,31.492916999999995
quent-static-log/postcard,8,1,145153.1123810758,140067.92382802072,77200628,216266633.64358726,0,6013,19902,22561,12.290922666666667
quent-static-span/postcard,8,1,165202.30014353586,155349.24245189494,78750659,244677104.36475006,0,5789,16595,23697,19.03350466666667
quent-dynamic-log/postcard,8,16,4771562.644474011,650829.4094455483,79450628,1034176106.026359,0,2085,5649,9101,66.64324599999999
quent-dynamic-span/postcard,8,16,2892712.184658632,536012.0057809288,81001124,868351498.9149946,0,3296,9115,17307,75.35962733333332
quent-static-log/postcard,8,16,2638934.1087284517,617075.3730839526,77200628,952772126.5083088,0,3841,11481,58903,57.517179
quent-static-span/postcard,8,16,2165659.3228768236,580349.4820390288,78751124,914063480.4678265,0,3880,10040,16206,62.775146
quent-dynamic-log/postcard,64,1,40326.72069541581,32398.522659766448,820900628,531919351.9534902,0,23460,47562,61812,303.401022
quent-dynamic-span/postcard,64,1,39834.65779914477,31430.57907139891,822450659,517002009.4004728,0,24807,42374,59085,335.91965833333336
quent-static-log/postcard,64,1,46782.18691234122,39802.46682930537,800700628,637397203.7234795,0,21453,42670,54278,187.04057433333332
quent-static-span/postcard,64,1,45035.55194475467,39637.61976513773,802250659,635986131.5554633,0,21134,38501,48143,151.1204713333333
quent-dynamic-log/postcard,64,16,809427.7851052765,88301.33008465201,820900628,1449732346.3945227,0,12260,32791,50631,503.8823683333333
quent-dynamic-span/postcard,64,16,783107.5173268748,91430.93613263858,822451124,1503949523.8132162,0,13298,29151,48003,482.57042
quent-static-log/postcard,64,16,951871.1924831426,117302.80842488841,800700628,1878488647.439437,0,12469,41929,148305,360.62284833333337
quent-static-span/postcard,64,16,992177.0174841612,155549.20990038238,802251124,2495790569.5978737,0,11371,25989,416066,271.28422066666667
