variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/postcard,8,1,147194.2393135934,137984.1524067764,79450622,219258534.69722366,0,5819,19918,32120,22.862995666666666
quent-dynamic-span/postcard,8,1,146512.15551054702,135228.8193424492,81000653,219072453.4231483,0,6972,15683,24714,28.944134666666667
quent-static-log/postcard,8,1,163113.29646483107,157385.44500466276,77200622,243005084.9621352,0,5399,15587,22700,11.224363333333335
quent-static-span/postcard,8,1,154142.35066805212,145990.48179566796,78750653,229936915.4638693,0,6145,12379,20373,18.018704666666665
quent-dynamic-log/postcard,8,16,3698999.9572109873,597319.0020877365,79450622,949147324.9657992,0,2671,6834,9705,70.23865133333332
quent-dynamic-span/postcard,8,16,2161507.277718835,508544.450326568,81001118,823853380.5829493,0,3790,10184,11562,74.91951399999999
quent-static-log/postcard,8,16,2443495.4590350105,610664.84376689,77200622,942874115.4467345,0,3337,10369,16714,57.34083366666667
quent-static-span/postcard,8,16,2157471.6944240336,559137.6989705754,78751118,880654378.1976051,0,4929,10600,20761,66.06822766666666
quent-dynamic-log/postcard,64,1,41225.92800138158,32842.087680590594,820900622,539201804.0955071,0,23753,45478,49204,309.531678
quent-dynamic-span/postcard,64,1,40481.76833293392,32231.8424271277,822450653,530181997.03168565,0,24437,42490,51461,316.1175006666667
quent-static-log/postcard,64,1,50341.32084616714,42612.68474982161,800700622,682400063.6854416,0,18187,37803,41720,176.621837
quent-static-span/postcard,64,1,44858.38816776433,40374.3430009963,802250653,647806860.7399052,0,22131,40689,50607,123.86061033333333
quent-dynamic-log/postcard,64,16,861850.6905747211,87800.65741135406,820900622,1441512285.6197891,0,11871,38213,51226,509.9707839999999
quent-dynamic-span/postcard,64,16,763165.1769755455,92737.87113745099,822451118,1525447315.95873,0,13007,34312,60344,472.9029136666666
quent-static-log/postcard,64,16,948124.1267922375,119258.41108198582,800700622,1909805678.6415548,0,12904,38836,211025,353.774654
quent-static-span/postcard,64,16,1122195.096235061,159742.70917480395,802251118,2563075340.556707,0,10341,23115,393127,268.98002733333334
