variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/msgpack,8,1,212857.84267784073,178800.92875460116,83450612,298420938.6147973,0,3998,10462,19248,44.38631133333334
quent-dynamic-log/ndjson,8,1,242508.3509679086,185959.50678130146,98100612,364854828.44927645,0,3785,8866,10486,62.79705466666667
quent-dynamic-log/postcard,8,1,201490.37939745726,171848.0375906288,79450612,273068635.1514893,0,4564,10678,20101,42.734564999999996
quent-dynamic-span/msgpack,8,1,204131.21303714733,175462.71298144865,85300649,299341665.8523659,0,4677,12402,20436,40.63618066666667
quent-dynamic-span/ndjson,8,1,242590.3153882829,186101.85045021793,102700704,382255821.138802,0,4397,7241,11153,62.414268666666665
quent-dynamic-span/postcard,8,1,196931.07022919468,166707.1256700467,81000643,270067687.43911177,0,5240,14213,27440,46.082849666666675
quent-static-log/msgpack,8,1,234326.9600023598,208745.89851027983,78400612,327316123.9139166,0,3697,7172,13813,26.063815
quent-static-log/ndjson,8,1,251638.4089406584,211547.8379894984,86700612,366826540.41932726,0,3465,6828,8333,37.220674
quent-static-log/postcard,8,1,257046.9369708416,226574.88242097027,77200612,349834391.734539,0,3689,7512,10182,26.346130333333335
quent-static-span/msgpack,8,1,229730.68400886818,205270.58478445758,80250649,329461952.9912449,0,3941,8850,17071,25.960413999999997
quent-static-span/ndjson,8,1,262473.33189868624,213979.56368461633,91300704,390729696.1203661,0,3575,8563,14636,43.04001566666667
quent-static-span/postcard,8,1,230866.75904926335,206012.10619720735,78750643,324471716.5762873,0,4356,12585,14626,26.290497666666667
quent-dynamic-log/msgpack,8,16,3527233.1356598493,711414.1227374608,83450612,1187358878.5576842,0,2138,5514,7643,55.913672
quent-dynamic-log/ndjson,8,16,3167319.105867777,550183.0075198853,98100612,1079465794.994027,0,2222,5362,8697,74.86894266666667
quent-dynamic-log/postcard,8,16,3654173.065118925,792268.6811621956,79450612,1258924631.7353864,0,1888,5297,8424,49.24107766666666
quent-dynamic-span/msgpack,8,16,2342673.4310118775,546846.7116855833,85301204,932933658.2044226,0,3755,10031,12609,70.08393133333333
quent-dynamic-span/ndjson,8,16,2214865.721779683,454655.49483538774,102702084,933881336.4329113,0,3144,9680,38368,87.188828
quent-dynamic-span/postcard,8,16,2715252.4239724856,623858.9070313625,81001108,1010665254.104187,0,3155,7956,10034,62.09097333333333
quent-static-log/msgpack,8,16,3662672.2992944247,905902.1290169657,78400612,1420465626.5406616,0,1988,5755,10668,41.68919333333333
quent-static-log/ndjson,8,16,2487062.3109481405,640814.75617865,86700612,1111180630.7863946,0,2324,11189,56370,53.37191000000001
quent-static-log/postcard,8,16,3720164.55621082,902288.0725653229,77200612,1393143828.0468667,0,1951,4912,9891,42.020758666666666
quent-static-span/msgpack,8,16,3296984.4923006184,764127.8544100225,80251204,1226443606.5268202,0,3273,7218,9202,50.363067666666666
quent-static-span/ndjson,8,16,2329091.606044374,496804.3317442915,91302084,907185416.5696235,0,2618,8927,29148,79.58440833333333
quent-static-span/postcard,8,16,2964393.8887168136,681452.3044727921,78751108,1073302480.5277147,0,2760,7871,9204,57.283511999999995
quent-dynamic-log/msgpack,64,1,59815.41153555284,41578.98216402524,848950612,705970047.0897263,0,17104,28222,39761,367.4798163333333
quent-dynamic-log/ndjson,64,1,75565.87006132012,38673.07208051306,926900612,716921883.5869535,0,11369,24273,29209,630.037066
quent-dynamic-log/postcard,64,1,66482.86777993142,43779.56939393247,820900612,718773506.1715127,0,15491,30767,38494,385.31967133333336
quent-dynamic-span/msgpack,64,1,54269.654717892845,40516.08623451976,850800649,689422249.2653875,0,18741,37941,55774,312.9234176666667
quent-dynamic-span/ndjson,64,1,77708.33127311584,39453.76124252978,931500704,735024127.4572881,0,7059,23271,33010,623.97373
quent-dynamic-span/postcard,64,1,66475.22758270697,44922.17433355489,822450643,738925423.3118063,0,17212,30665,40198,361.3364976666667
quent-static-log/msgpack,64,1,81258.34668645995,60386.67897083884,807000612,974641737.7222894,0,12355,20358,32963,212.69971166666664
quent-static-log/ndjson,64,1,77790.70942835438,48343.874967850155,848200612,820106086.6836396,0,10767,21585,25623,389.7297103333333
quent-static-log/postcard,64,1,70227.19641143981,55389.39310326272,800700612,887006419.1218208,0,14315,32758,42567,188.383406
quent-static-span/msgpack,64,1,66517.02501594472,56190.07561956282,808850649,908987582.6448492,0,15310,28246,33794,138.67270333333332
quent-static-span/ndjson,64,1,91228.59146675025,50707.267818468004,852800704,864863873.870121,0,10216,23797,40869,431.94478
quent-static-span/postcard,64,1,63934.573431500496,54706.72427067733,802250643,877770094.451492,0,15455,24568,30137,132.217158
quent-dynamic-log/msgpack,64,16,635450.1180048384,95033.21180245932,848950612,1613570066.400469,0,9634,26982,54541,447.8322856666667
quent-dynamic-log/ndjson,64,16,627404.2006638396,64251.89149283085,926900612,1191102350.9372501,0,8911,27735,42024,698.5615423333334
quent-dynamic-log/postcard,64,16,621985.8249547424,108465.70146880054,820900612,1780791214.3349533,0,9362,27427,51169,381.42420466666664
quent-dynamic-span/msgpack,64,16,604847.7566552983,97221.44209193565,850801204,1654322399.7287025,0,10428,26165,717822,430.6021166666667
quent-dynamic-span/ndjson,64,16,643292.1427234943,66034.84438014175,931502084,1230231903.1343546,0,9397,23779,403267,679.5323159999999
quent-dynamic-span/postcard,64,16,595829.2478106673,108973.4127506831,822451108,1792506081.186813,0,8633,26022,227524,374.6019103333333
quent-static-log/msgpack,64,16,803488.0501506381,124885.38141041831,807000612,2015651584.56122,0,7304,16052,49044,349.4915793333334
quent-static-log/ndjson,64,16,674672.960470538,71460.64439377114,848200612,1212259246.1742213,0,8970,37459,372339,614.688856
