variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/postcard,8,1,129998.02159507736,127404.74367453934,79450616,202447707.32528508,0,5996,19866,27021,7.828307666666667
quent-dynamic-span/postcard,8,1,118028.3944489172,116973.89297788272,81000647,189499220.2663451,0,7332,19526,24644,3.818424333333333
quent-static-log/postcard,8,1,140550.38291226307,137809.66823993574,77200616,212779825.5775735,0,6431,18321,22912,7.107768333333333
quent-static-span/postcard,8,1,149826.3646324056,148240.87296373412,78750647,233481293.15477744,0,6251,14258,29851,3.520476
quent-dynamic-log/postcard,8,16,722122.039048775,650197.2552083583,79450616,1033171448.9562654,0,1922,316376,343445,7.659223999999999
quent-dynamic-span/postcard,8,16,563746.6298163497,542115.1380819891,81001112,878238580.3334931,0,3008,199266,230962,3.5383506666666666
quent-static-log/postcard,8,16,823971.6797527432,751084.6522839641,77200616,1159683956.4893568,0,1727,287975,305030,5.836188666666668
quent-static-span/postcard,8,16,604889.6262146299,583387.870342971,78751112,918848870.3364156,0,2845,177269,206080,3.0251243333333337
quent-dynamic-log/postcard,64,1,27357.956133187505,26549.75801605714,820900616,435894254.2006449,0,24936,48875,70152,55.616411666666664
quent-dynamic-span/postcard,64,1,27497.34821276453,27076.69165540069,822450647,445384851.412076,0,27533,48289,55907,28.244172666666667
quent-static-log/postcard,64,1,37878.278319234094,36739.45308798426,800700616,588346054.3810419,0,21517,44366,56207,40.902416333333335
quent-static-span/postcard,64,1,38303.7349213271,37775.36743579538,802250647,606106259.3205916,0,28848,401483,436600,18.229647
quent-dynamic-log/postcard,64,16,82117.27404348839,75557.86074082412,820900616,1240509888.5156946,0,14033,51554,3242966,52.86779366666667
quent-dynamic-span/postcard,64,16,82055.29061185115,78739.04895836691,822451112,1295180367.4726262,0,13105,1535258,1666859,25.655127333333336
quent-static-log/postcard,64,16,123011.95202481536,112480.99756283988,800700616,1801272080.7372077,0,9414,28850,1968964,37.977072666666665
quent-static-span/postcard,64,16,143064.28682509344,136923.23500597174,802251112,2196936350.843563,0,9231,798675,839832,15.659012666666667
