variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-static-log/bincode-native,8,1,296300.66783937014,228287.09380442937,90750000,414341075.2550393,0,3139,7058,12026,50.68092133333334
quent-static-log/bincode-serde,8,1,174080.5819052082,147650.2641873374,90750000,267985229.5000174,0,5059,16873,24533,51.38120133333334
quent-static-log/postcard,8,1,160959.99882661,156558.3913529462,77200614,241728078.78599477,0,5142,14320,23721,9.510892
quent-static-span/bincode-native,8,1,327113.60393297067,214285.5441104209,92550036,396642696.4339809,0,3601,7575,16594,79.79872399999999
quent-static-span/bincode-serde,8,1,184543.6404516001,145534.45188788546,92550036,269384375.22928137,0,6174,12941,25326,72.64467166666667
quent-static-span/postcard,8,1,153938.97953416037,146508.9957693953,78750645,230753558.302843,0,6508,14755,28681,16.496697333333334
quent-static-log/bincode-native,8,16,3344986.7708154484,568132.0893514649,90750000,1031159742.1729087,0,1811,4791,5619,73.12754566666666
quent-static-log/bincode-serde,8,16,3253331.6934781387,484209.85977990105,90750000,878840895.5005203,0,2339,7982,10130,87.90946733333332
quent-static-log/postcard,8,16,2329720.979669466,631191.398659445,77200614,974567270.5605587,0,3464,8821,52307,53.93976833333334
quent-static-span/bincode-native,8,16,2803247.088944699,406304.60484054073,92550576,752074504.1888889,0,2804,7823,10151,105.21341600000001
quent-static-span/bincode-serde,8,16,2456798.6587693845,365781.0526418928,92550576,677064942.23787,0,3816,10500,26546,116.28564733333333
quent-static-span/postcard,8,16,2070719.5150926209,551012.1196055799,78751110,867856320.8478436,0,4579,8621,11979,65.94881466666668
quent-static-log/bincode-native,64,1,67878.9320340763,52890.44620025315,881300000,932247004.7256619,0,12598,21417,29826,208.55974766666668
quent-static-log/bincode-serde,64,1,60929.13627205765,48667.757518324644,881300000,857817894.0179901,0,15079,31308,38575,206.531168
quent-static-log/postcard,64,1,46745.73218344991,40036.459809241635,800700614,641144359.0329219,0,20707,40049,59444,179.54450633333332
quent-static-span/bincode-native,64,1,76629.83269226782,54916.50330844668,883100036,969935320.9736676,0,14091,24699,31253,252.73683733333334
quent-static-span/bincode-serde,64,1,59357.2233727804,45990.39693193882,883100036,812282423.7249893,0,15919,35010,47846,244.86108366666667
quent-static-span/postcard,64,1,45375.76027444851,40819.19209023035,802250645,654944463.6553239,0,21542,45304,51740,123.10216733333334
quent-static-log/bincode-native,64,16,1083073.7574221739,108913.31489613792,881300000,1919706088.3593266,0,8199,16791,25220,413.08368900000005
quent-static-log/bincode-serde,64,16,1218116.135882918,124746.98421504958,881300000,2198790343.7744637,0,10245,25001,36024,359.750593
quent-static-log/postcard,64,16,919764.0838726215,118019.98953224446,800700614,1889973561.654834,0,11641,44375,228770,352.8051003333333
quent-static-span/bincode-native,64,16,921181.3417096137,112039.5936914265,883100576,1978844594.4740944,0,8282,15975,22018,392.673687
quent-static-span/bincode-serde,64,16,1086608.7713945676,113815.26623193461,883100576,2010206543.3402965,0,10361,20708,34226,393.29862099999997
quent-static-span/postcard,64,16,974519.6664530033,151099.36104604887,802251110,2424392602.38967,0,11951,29654,83063,279.187525
