variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/postcard,8,1,143747.56538901027,132243.19817027132,79450620,210136081.70821846,0,6387,16401,24201,30.27785666666667
quent-dynamic-log/postcard-producer,8,1,774954.7751874438,770648.0878299627,79450620,1224569367.5980997,0,1871,2263,3859,0.3587303333333334
quent-dynamic-span/postcard,8,1,140985.215782695,129971.5208359855,81000651,210555555.98349777,0,6516,14636,22473,30.021412666666667
quent-dynamic-span/postcard-producer,8,1,710573.1866652357,683060.2652371343,81000651,1106566523.1288111,0,2046,2479,3448,2.933437
quent-static-log/postcard,8,1,161949.86839072927,153013.2039100304,77200620,236254284.2008154,0,5275,14596,19407,18.006547666666666
quent-static-log/postcard-producer,8,1,939477.8927044707,931215.256428965,77200620,1437807902.9955018,0,1689,1962,3630,0.47142533333333336
quent-static-span/postcard,8,1,166283.50057151073,156566.61299542905,78750651,246594453.96510196,0,6462,16732,25125,18.581847333333332
quent-static-span/postcard-producer,8,1,862976.2872569655,858105.7364294069,78750651,1351527707.4130044,0,1789,2147,4261,0.3294766666666667
quent-dynamic-log/postcard,8,16,3360228.636620985,601815.3677163715,79450620,956292081.811874,0,3134,5658,7736,67.833893
quent-dynamic-log/postcard-producer,8,16,5476106.834978347,3430338.0293529793,79450620,5450849664.833447,0,63864,233766,429950,5.429525333333333
quent-dynamic-span/postcard,8,16,2192988.5883911303,504741.07572455634,81001116,817691808.4945914,0,3570,10306,39111,76.112257
quent-dynamic-span/postcard-producer,8,16,3965623.958893139,3234039.5918884147,81001116,5239216322.622924,0,115857,151976,311875,2.828749
quent-static-log/postcard,8,16,2655158.8443986867,619271.0271199279,77200620,956162144.8339049,0,3295,9312,24207,57.79602833333333
quent-static-log/postcard-producer,8,16,4553236.586507719,3026994.4227008517,77200620,4673716923.380957,0,93670,318063,516057,5.543154666666666
quent-static-span/postcard,8,16,2237493.529105349,566186.3427023962,78751116,891756127.0354433,0,3686,10783,15271,65.490052
quent-static-span/postcard-producer,8,16,4068463.1863798457,3296936.045202047,78751116,5192747858.805753,0,126007,163227,338080,2.8731813333333336
quent-dynamic-log/postcard,64,1,44324.39568281785,34532.0254835921,820900620,566947222.5867311,0,21908,43758,61210,320.05142133333334
quent-dynamic-log/postcard-producer,64,1,138998.58434567804,138846.48763299966,820900620,2279583355.6550355,0,7758,8481,15010,0.39397566666666667
quent-dynamic-span/postcard,64,1,40994.39204626807,32392.111921550255,822450651,532818270.7428774,0,25135,48028,61425,321.22569833333336
quent-dynamic-span/postcard-producer,64,1,137195.633608081,137025.20745412348,822450651,2253929421.4810777,0,7858,8648,8985,0.4530186666666667
quent-static-log/postcard,64,1,44509.230649996025,38279.603117811916,800700620,613010038.9957187,0,21398,38264,46765,182.92382666666666
quent-static-log/postcard-producer,64,1,227601.75422816983,226663.50284339875,800700620,3629792145.161623,0,5006,5169,6344,0.9146593333333333
quent-static-span/postcard,64,1,46071.33891876492,41401.46513200127,802250651,664287047.0900365,0,20986,38048,64250,122.887085
quent-static-span/postcard-producer,64,1,206935.7560374152,206600.48829517528,802250651,3314907524.6344447,0,5568,6037,6210,0.3873836666666666
quent-dynamic-log/postcard,64,16,766270.2434411872,87366.47666527332,820900620,1434383897.234768,0,12269,43144,90838,506.4775633333333
quent-dynamic-log/postcard-producer,64,16,452184.2406476151,327524.8456477137,820900620,5377306977.15225,0,58208,7108782,12358372,42.11167566666666
quent-dynamic-span/postcard,64,16,665819.9254794136,92088.6212297503,822451116,1514767786.0261886,0,13598,36178,67288,467.09701033333334
quent-dynamic-span/postcard-producer,64,16,355007.1730891093,305785.50265013456,822451116,5029872558.224483,0,813870,4232249,7180435,22.661378666666668
quent-static-log/postcard,64,16,926906.4345456498,121065.10781211765,800700620,1938738137.7105892,0,10777,38129,343564,348.0270156666666
quent-static-log/postcard-producer,64,16,450993.243988214,314291.5271934812,800700620,5033068413.691346,0,9757,8632402,17147236,48.207166666666666
quent-static-span/postcard,64,16,986975.5348273581,153040.03307765827,802251116,2455530746.5845656,0,10293,25367,214750,275.56308933333327
quent-static-span/postcard-producer,64,16,373293.2170236905,319101.71093167784,802251116,5119994074.248958,0,971709,2958562,5133943,22.737236333333332
