variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/msgpack,8,1,178675.01504626172,146183.31651478985,83450618,243981762.08897638,0,5010,17729,23409,62.198914
quent-dynamic-log/ndjson,8,1,197046.0881626998,154394.7395241683,98100618,302924387.26539874,0,4367,17042,26741,70.10538533333333
quent-dynamic-log/postcard,8,1,192487.8836380317,158941.72986067756,79450618,252560373.2683977,0,5273,12744,19080,54.60728766666667
quent-dynamic-span/msgpack,8,1,196123.13589178445,148323.3527365995,85300655,253041582.80455962,0,5241,14567,28674,82.46801
quent-dynamic-span/ndjson,8,1,184070.00097242105,146166.0354136412,102700710,300227112.29732186,0,4899,13468,22850,70.06009866666666
quent-dynamic-span/postcard,8,1,162869.68277621808,139562.03936703881,81000649,226092315.28987387,0,6520,18751,25658,51.538576
quent-static-log/msgpack,8,1,232441.9180750741,194657.94131516633,78400618,305226057.9543355,0,3379,16225,29352,41.775681
quent-static-log/ndjson,8,1,207400.05965957488,170084.37919937403,86700618,294928415.77464145,0,4457,10714,21289,51.30482933333334
quent-static-log/postcard,8,1,223267.06554265876,192523.01608600738,77200618,297257916.4212742,0,3714,13289,25916,35.711114
quent-static-span/msgpack,8,1,231156.85978223488,176063.0388283449,80250655,282583483.7453022,0,2310,12316,22453,65.310162
quent-static-span/ndjson,8,1,207640.70887584754,168490.91890319975,91300710,307666810.4882912,0,5223,15542,26366,55.85687333333333
quent-static-span/postcard,8,1,208038.22589019293,167162.71028955386,78750649,263283438.47802687,0,3844,11367,20905,58.549148333333335
quent-dynamic-log/msgpack,8,16,4631796.059725123,526670.916290285,83450618,879020268.9410106,0,2321,5684,9855,84.07614366666667
quent-dynamic-log/ndjson,8,16,3699700.508474114,413086.82563504,98100618,810481457.6491133,0,3269,6420,8829,107.38008066666667
quent-dynamic-log/postcard,8,16,5094920.5635909075,588188.0361575895,79450618,934638059.4585367,0,2174,3957,6841,75.76030333333334
quent-dynamic-span/msgpack,8,16,3287054.5845248085,379760.9973901482,85301210,647881451.7637297,0,3375,8871,26257,120.779592
quent-dynamic-span/ndjson,8,16,2311280.532054856,361057.3748509227,102702090,741626940.1420637,0,5789,9902,20029,116.46798000000001
quent-dynamic-span/postcard,8,16,3391261.065247504,488269.2062170566,81001114,791006992.7095461,0,3163,9427,21264,87.76608233333333
quent-static-log/msgpack,8,16,4699113.661081981,636179.8511496539,78400618,997537869.7856175,0,2646,5738,9800,67.98776566666666
quent-static-log/ndjson,8,16,3001007.86282256,492865.0640496265,86700618,854634112.8742441,0,3665,10656,160032,80.19243966666667
quent-static-log/postcard,8,16,4542156.149214129,510986.0967528979,77200618,788968849.1746303,0,1943,5406,11964,86.50337966666666
quent-static-span/msgpack,8,16,3015156.434876731,424935.6919857231,80251210,682032069.0808315,0,4191,8621,11245,103.12838599999999
quent-static-span/ndjson,8,16,2397001.261616719,433870.0069869554,91302090,792264768.5244726,0,5276,9599,13691,93.74820533333333
quent-static-span/postcard,8,16,3281345.492786514,363343.9406363168,78751114,572274801.8051964,0,2973,8163,11440,122.340921
quent-dynamic-log/msgpack,64,1,46709.22972580864,33277.91542681059,848950618,565026137.3468517,0,21460,50955,68459,431.7182173333333
quent-dynamic-log/ndjson,64,1,63588.035877523944,35735.27139255526,926900618,662460902.7631439,0,14664,38513,48126,611.3778403333333
quent-dynamic-log/postcard,64,1,55258.62183565964,39240.950859918616,820900618,644258416.2362965,0,15332,38227,51834,360.6619376666667
quent-dynamic-span/msgpack,64,1,48040.38270843055,33032.775039161264,850800655,562086132.7957212,0,20817,46753,63002,472.63855766666666
quent-dynamic-span/ndjson,64,1,57843.8261575228,33407.63769327994,931500710,622384764.6142606,0,19448,39951,61150,631.6510006666666
quent-dynamic-span/postcard,64,1,58472.24047282213,40778.72921516122,822450649,670769846.1680921,0,6615,41484,47550,370.47351933333334
quent-static-log/msgpack,64,1,60337.435723735194,46110.385822778546,807000618,744222197.1040144,0,15650,34958,50092,255.22173166666667
quent-static-log/ndjson,64,1,73436.3263104116,44007.90872817687,848200618,746550707.6025443,0,13652,31423,45410,446.76978099999997
quent-static-log/postcard,64,1,54605.62394597724,44106.26923786026,800700618,706318340.7285819,0,17750,44371,63705,216.21986333333336
quent-static-span/msgpack,64,1,55082.50685642615,44120.992844237364,808850655,713745879.226234,0,20093,33814,47716,225.554114
quent-static-span/ndjson,64,1,81774.09740131079,47059.39658383463,852800710,802645736.3773149,0,12721,32557,41863,451.34708133333334
quent-static-span/postcard,64,1,52086.458228876814,44178.67615961939,802250649,708847432.4203095,0,20315,42895,51618,170.834998
quent-dynamic-log/msgpack,64,16,837344.0931209646,74963.6655884781,848950618,1272809004.5776765,0,12448,33545,62460,606.8133386666667
quent-dynamic-log/ndjson,64,16,694076.3629990817,57330.08871550375,926900618,1062785893.2079052,0,12974,38836,102318,803.6995246666665
quent-dynamic-log/postcard,64,16,819651.035992444,88377.138794035,820900618,1450976957.0619018,0,11193,27970,42372,506.15369233333337
quent-dynamic-span/msgpack,64,16,764359.5322712999,68956.22815412587,850801210,1173360847.011327,0,12495,29713,44657,659.7524239999999
quent-dynamic-span/ndjson,64,16,660750.0389963089,55801.061019235116,931502090,1039576099.2727009,0,13572,33317,53145,822.0847503333334
quent-dynamic-span/postcard,64,16,858540.0017226691,79371.09465350585,822451114,1305576904.3435068,0,11742,29756,46301,574.9723013333333
quent-static-log/msgpack,64,16,1270827.8686740324,106801.32314071195,807000618,1723774675.555445,0,10021,30345,369076,429.39902
quent-static-log/ndjson,64,16,911766.3377321963,68400.21841619619,848200618,1160342150.639052,0,11873,54624,327156,661.676241
quent-static-log/postcard,64,16,1316319.3299959612,119883.80528210347,800700618,1919820739.551438,0,9077,20563,36145,379.0427946666667
quent-static-span/msgpack,64,16,1211080.9684769344,123709.39268846116,808851210,2001249839.2885392,0,9580,22009,37840,362.8889853333333
quent-static-span/ndjson,64,16,1005995.0969150072,63597.360360716244,852802090,1084719236.6820395,0,11388,29221,102393,736.579893
quent-static-span/postcard,64,16,1200212.212433975,132787.75650846807,802251114,2130582511.689585,0,10020,17942,29445,334.90409800000003
