variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/grpc,8,1,269830.3775955761,52600.509857165096,,,0,3078,6656,14125,765.7452673333333
quent-dynamic-span/grpc,8,1,265006.17275487614,56506.45466090041,,,0,3611,8276,12390,892.9058513333333
quent-static-log/grpc,8,1,298057.4822560663,74075.89655944887,,,0,3042,6336,8633,615.9850153333333
quent-static-span/grpc,8,1,294042.7942499861,129191.7693856447,,,0,3165,7465,19472,215.39561600000002
quent-dynamic-log/grpc,8,16,2994692.418457283,61499.11402108311,,,0,2320,5426,9296,819.8890796666666
quent-dynamic-span/grpc,8,16,2105047.8003628375,115669.27710582729,,,0,3081,9867,27717,472.7677223333333
quent-static-log/grpc,8,16,2418358.210426206,105289.4835596048,,,0,2004,11337,113997,473.544776
quent-static-span/grpc,8,16,2618138.1846940056,164558.31195449436,,,0,2804,7155,15323,286.1308463333333
quent-dynamic-log/grpc,64,1,59063.72152315247,5704.806642864492,,,0,15624,31568,38191,7941.1451419999985
quent-dynamic-span/grpc,64,1,40111.57426512666,4855.0792714969975,,,0,23522,42021,53331,9050.823972333332
quent-static-log/grpc,64,1,72610.06326596055,5664.203083050011,,,0,12348,23093,38959,8219.713360333333
quent-static-span/grpc,64,1,73991.2766059109,5044.961670648794,,,0,12254,29731,42106,9236.239063333333
quent-dynamic-log/grpc,64,16,846040.1178709432,6136.7376747359085,,,0,11223,34568,153507,8171.876975333333
quent-dynamic-span/grpc,64,16,902874.1976511407,4654.300578773225,,,0,12431,27689,44337,10975.034982333333
quent-static-log/grpc,64,16,887301.3718198271,5404.367526623729,,,0,10659,30759,74744,9181.619095333333
quent-static-span/grpc,64,16,1106331.4266061294,5096.176083049498,,,0,11213,23998,38671,9766.895219333333
