variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/postcard,8,1,148069.81558049348,136846.20450209858,79450620,217450315.84677044,0,5643,15608,26562,27.813627
quent-dynamic-span/postcard,8,1,139601.56720850672,130358.35541981597,81000651,211182233.0458894,0,6529,16482,27340,25.767357000000004
quent-static-log/postcard,8,1,148456.69301931091,142902.5698808086,77200620,220643339.887835,0,6336,14964,21201,12.643875
quent-static-span/postcard,8,1,175430.79755261156,163344.7019676455,78750651,257270032.34706128,0,5379,12936,21075,20.689310000000003
quent-dynamic-log/postcard,8,16,3545564.7556717894,635524.9978089741,79450620,1009857102.0284325,0,2426,5491,14356,64.21622233333333
quent-dynamic-span/postcard,8,16,2433776.5953792203,513603.877764112,81001116,832049745.6164131,0,3725,11978,23727,76.710338
quent-static-log/postcard,8,16,2437918.8742167344,586453.7715611839,77200620,905491895.3172354,0,3597,10407,90852,59.43558833333333
quent-static-span/postcard,8,16,2210550.4926684476,567219.1484037532,78751116,893382819.0673037,0,4386,8784,12215,64.98652799999999
quent-dynamic-log/postcard,64,1,41421.192440722196,32776.808226724504,820900620,538130043.8987849,0,22676,40212,56838,318.55083833333333
quent-dynamic-span/postcard,64,1,45025.748824036156,35155.93589775585,822450651,578280447.3124713,0,23863,49778,85973,308.89765966666664
quent-static-log/postcard,64,1,51704.90663803959,43424.16720710921,800700620,695395152.1143203,0,19218,36788,50131,184.08505533333332
quent-static-span/postcard,64,1,44085.83741796454,40097.45329944985,802250651,643364160.2585148,0,21311,44138,61044,112.67526066666666
quent-dynamic-log/postcard,64,16,733095.3874128727,87378.5928017843,820900620,1434582820.1142452,0,12070,40302,59047,503.4572126666667
quent-dynamic-span/postcard,64,16,721776.0005229624,89922.35593508095,822451116,1479134839.8431313,0,12476,30793,49844,485.4480456666666
quent-static-log/postcard,64,16,980144.4746380731,122958.79427275939,800700620,1969063656.1730177,0,11152,41775,193851,341.85154566666665
quent-static-span/postcard,64,16,1000792.4542755688,156257.4103955051,802251116,2507153637.461279,0,11179,25966,281330,269.91095866666666
